id,name,email,gender,grade
1,Cheston MacAlpine,cmacalpine0@linkedin.com,Male,4.2
2,Maggee Gillham,mgillham1@diigo.com,Female,2.3
3,Melloney Marxsen,mmarxsen2@uiuc.edu,Female,9.0
4,Tynan Dabernott,tdabernott3@nasa.gov,Male,5.3
5,Dick Rama,drama4@java.com,Male,1.5
6,Alejandrina Simmers,asimmers5@privacy.gov.au,Bigender,9.4
7,Chauncey Focke,cfocke6@slideshare.net,Agender,6.9
8,Julie Ismay,jismay7@gnu.org,Genderfluid,7.7
9,Antonia Duckels,aduckels8@rakuten.co.jp,Female,2.5
10,Graig Chaman,gchaman9@buzzfeed.com,Male,5.2
11,Fran Humphries,fhumphriesa@ezinearticles.com,Male,3.1
12,Dolly Tilby,dtilbyb@blinklist.com,Female,4.3
13,Dilan Ducastel,dducastelc@infoseek.co.jp,Male,2.2
14,Georgina Aronow,garonowd@indiegogo.com,Female,8.3
15,Annetta Runham,arunhame@php.net,Female,4.6
16,Deborah Scandrite,dscandritef@fastcompany.com,Female,3.7
17,Emili Blade,ebladeg@vimeo.com,Female,2.0
18,Colet Ridoutt,cridoutth@qq.com,Male,3.1
19,Neel Edworthye,nedworthyei@ebay.co.uk,Polygender,7.5
20,Regine Tutt,rtuttj@hatena.ne.jp,Female,9.4
21,Eugene Bickerdike,ebickerdikek@biblegateway.com,Non-binary,3.5
22,Paulina Leyborne,pleybornel@hugedomains.com,Female,8.0
23,Christoforo Soles,csolesm@google.fr,Male,8.0
24,Corabella Saltsberg,csaltsbergn@quantcast.com,Female,9.0
25,Zahara Stanway,zstanwayo@phpbb.com,Female,8.2
26,Courtnay Joselevitch,cjoselevitchp@wisc.edu,Male,3.3
27,Chevalier Dwelly,cdwellyq@blogs.com,Male,1.9
28,Rob Spain,rspainr@europa.eu,Male,8.5
29,Granny Dykas,gdykass@disqus.com,Male,2.0
30,Harrietta Yglesia,hyglesiat@ucsd.edu,Female,2.6
31,Shelba Ambrose,sambroseu@google.com,Genderqueer,5.1
32,Fae Mapletoft,fmapletoftv@hhs.gov,Female,5.3
33,Lyndsie Dishmon,ldishmonw@merriam-webster.com,Female,3.2
34,Mariya Pflieger,mpfliegerx@wired.com,Female,2.7
35,Blondy Foyle,bfoyley@cocolog-nifty.com,Bigender,8.6
36,Clive Wilds,cwildsz@businessinsider.com,Male,5.4
37,Lyell Cockshoot,lcockshoot10@cdc.gov,Male,1.4
38,Micah Beere,mbeere11@mysql.com,Male,2.2
39,Elvis Easman,eeasman12@rakuten.co.jp,Male,5.6
40,Amargo Brakewell,abrakewell13@utexas.edu,Female,5.2
41,Wilone Dodson,wdodson14@answers.com,Female,4.9
42,Barrie Avrahamian,bavrahamian15@newyorker.com,Male,9.8
43,Smith Mynott,smynott16@archive.org,Male,9.6
44,Laurianne Tregunnah,ltregunnah17@ning.com,Female,6.3
45,Bertha McIlwaine,bmcilwaine18@exblog.jp,Female,5.1
46,Anthea Fawlo,afawlo19@sun.com,Female,6.8
47,Nicolea Oldale,noldale1a@simplemachines.org,Female,4.4
48,Banky Stinchcombe,bstinchcombe1b@ebay.com,Agender,9.1
49,Justino Deviney,jdeviney1c@unicef.org,Male,1.6
50,Letisha Matzkaitis,lmatzkaitis1d@ifeng.com,Female,2.0
51,Hilton Capelle,hcapelle1e@europa.eu,Male,3.2
52,Silvanus Kilian,skilian1f@google.nl,Male,4.0
53,Uriah Waadenburg,uwaadenburg1g@tripadvisor.com,Male,7.0
54,Violetta Littlefield,vlittlefield1h@fotki.com,Female,8.9
55,Wilbert Hallihan,whallihan1i@wsj.com,Male,6.9
56,Nikolas Abramovitz,nabramovitz1j@npr.org,Male,4.0
57,Maynard Northcliffe,mnorthcliffe1k@toplist.cz,Male,3.4
58,Amye Boggas,aboggas1l@istockphoto.com,Female,7.3
59,Levin MacMechan,lmacmechan1m@theguardian.com,Male,6.3
60,Timothy Beavington,tbeavington1n@flavors.me,Male,4.3
61,Fairlie Didball,fdidball1o@eepurl.com,Male,5.7
62,Doralynne Rand,drand1p@nsw.gov.au,Female,5.7
63,Wernher Pavett,wpavett1q@bbb.org,Male,2.5
64,Rossie Rielly,rrielly1r@flavors.me,Bigender,2.6
65,Greer Hourstan,ghourstan1s@wordpress.com,Female,9.8
66,Kinnie Danilchenko,kdanilchenko1t@smugmug.com,Male,1.7
67,Merle Golson,mgolson1u@bloglovin.com,Female,6.4
68,Napoleon Nuton,nnuton1v@jigsy.com,Male,7.9
69,Martainn Noorwood,mnoorwood1w@go.com,Male,4.3
70,Galvin Laviste,glaviste1x@topsy.com,Male,6.2
71,Jenica Bartoleyn,jbartoleyn1y@ted.com,Female,1.2
72,Aluino Broker,abroker1z@de.vu,Male,7.1
